
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab4         0.049    0.951
ab8         0.082    0.918
ab11        0.114    0.886
ab14        0.147    0.853
ab17        0.180    0.820
ab21        0.212    0.788
ab24        0.245    0.755
ab25        0.253    0.747

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo89        0.890    0.110
fo92        0.923    0.077
fo95        0.956    0.044
fo98.9      0.989    0.011
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp68        0.681    0.319
sp71        0.714    0.286
sp74        0.747    0.253
sp78        0.780    0.220
sp81        0.813    0.187
sp81        0.819    0.181

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op89__0     0.000    0.893    0.107
Op92__0     0.000    0.926    0.074
Op94__0     0.000    0.942    0.058
Op89__3     0.033    0.860    0.103
Op92__3     0.033    0.893    0.071
Op94__3     0.033    0.909    0.056
Op89__6     0.066    0.827    0.100
Op92__6     0.066    0.860    0.069
Op94__6     0.066    0.876    0.054
Op89__9     0.100    0.794    0.096
Op92__9     0.100    0.827    0.066
Op94__9     0.100    0.843    0.052
Op89_13     0.133    0.761    0.093
Op92_13     0.133    0.794    0.064
Op94_13     0.133    0.809    0.050
Op89_14     0.148    0.746    0.091
Op92_14     0.148    0.779    0.063
Op94_14     0.148    0.794    0.049

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_066_6    0.000    0.667    0.067    0.267
Cp_066_6    0.000    0.667    0.070    0.264
Cp_070_0    0.000    0.700    0.000    0.300
Cp_070_3    0.000    0.700    0.033    0.267
Cp_070_6    0.000    0.700    0.067    0.233
Cp_070_6    0.000    0.700    0.070    0.230
Cp_073_0    0.000    0.733    0.000    0.267
Cp_073_3    0.000    0.733    0.033    0.233
Cp_073_6    0.000    0.733    0.067    0.200
Cp_073_6    0.000    0.733    0.070    0.197
Cp_076_0    0.000    0.767    0.000    0.233
Cp_076_3    0.000    0.767    0.033    0.200
Cp_076_6    0.000    0.767    0.067    0.167
Cp_076_6    0.000    0.767    0.070    0.164
Cp_080_0    0.000    0.800    0.000    0.200
Cp_080_3    0.000    0.800    0.033    0.167
Cp_080_6    0.000    0.800    0.067    0.133
Cp_080_6    0.000    0.800    0.070    0.130
Cp_083_0    0.000    0.833    0.000    0.167
Cp_083_3    0.000    0.833    0.033    0.133
Cp_083_6    0.000    0.833    0.067    0.100
Cp_083_6    0.000    0.833    0.070    0.097
Cp_086_0    0.000    0.867    0.000    0.133
Cp_086_3    0.000    0.867    0.033    0.100
Cp_086_6    0.000    0.867    0.067    0.067
Cp_086_6    0.000    0.867    0.070    0.064
Cp_089_0    0.000    0.900    0.000    0.100
Cp_089_3    0.000    0.900    0.033    0.067
Cp_089_6    0.000    0.900    0.067    0.033
Cp_089_6    0.000    0.900    0.070    0.030
Cp_093_0    0.000    0.933    0.000    0.067
Cp_093_3    0.000    0.933    0.033    0.033
Cp_093_6    0.000    0.933    0.067    0.000
Cp_093_0    0.000    0.934    0.000    0.066
Cp_093_3    0.000    0.934    0.033    0.033
Cp_093_6    0.000    0.934    0.066    0.000
Cp_0_0_0    0.001    0.000    0.000    0.999
Cp_0_0_3    0.001    0.000    0.033    0.966
Cp_0_0_6    0.001    0.000    0.067    0.933
Cp_0_0_6    0.001    0.000    0.070    0.930
Cp_0_3_0    0.001    0.033    0.000    0.966
Cp_0_3_3    0.001    0.033    0.033    0.933
Cp_0_3_6    0.001    0.033    0.067    0.899
Cp_0_3_6    0.001    0.033    0.070    0.896
Cp_0_6_0    0.001    0.067    0.000    0.933
Cp_0_6_3    0.001    0.067    0.033    0.899
Cp_0_6_6    0.001    0.067    0.067    0.866
Cp_0_6_6    0.001    0.067    0.070    0.863
Cp_010_0    0.001    0.100    0.000    0.899
Cp_010_3    0.001    0.100    0.033    0.866
Cp_010_6    0.001    0.100    0.067    0.833
Cp_010_6    0.001    0.100    0.070    0.830
Cp_013_0    0.001    0.133    0.000    0.866
Cp_013_3    0.001    0.133    0.033    0.833
Cp_013_6    0.001    0.133    0.067    0.799
Cp_013_6    0.001    0.133    0.070    0.796
Cp_016_0    0.001    0.167    0.000    0.833
Cp_016_3    0.001    0.167    0.033    0.799
Cp_016_6    0.001    0.167    0.067    0.766
Cp_016_6    0.001    0.167    0.070    0.763
Cp_020_0    0.001    0.200    0.000    0.799
Cp_020_3    0.001    0.200    0.033    0.766
Cp_020_6    0.001    0.200    0.067    0.733
Cp_020_6    0.001    0.200    0.070    0.730
Cp_023_0    0.001    0.233    0.000    0.766
Cp_023_3    0.001    0.233    0.033    0.733
Cp_023_6    0.001    0.233    0.067    0.699
Cp_023_6    0.001    0.233    0.070    0.696
Cp_026_0    0.001    0.267    0.000    0.733
Cp_026_3    0.001    0.267    0.033    0.699
Cp_026_6    0.001    0.267    0.067    0.666
Cp_026_6    0.001    0.267    0.070    0.663
Cp_030_0    0.001    0.300    0.000    0.699
Cp_030_3    0.001    0.300    0.033    0.666
Cp_030_6    0.001    0.300    0.067    0.633
Cp_030_6    0.001    0.300    0.070    0.630
Cp_033_0    0.001    0.333    0.000    0.666
Cp_033_3    0.001    0.333    0.033    0.633
Cp_033_6    0.001    0.333    0.067    0.599
Cp_033_6    0.001    0.333    0.070    0.596
Cp_036_0    0.001    0.367    0.000    0.633
Cp_036_3    0.001    0.367    0.033    0.599
Cp_036_6    0.001    0.367    0.067    0.566
Cp_036_6    0.001    0.367    0.070    0.563
Cp_040_0    0.001    0.400    0.000    0.599
Cp_040_3    0.001    0.400    0.033    0.566
Cp_040_6    0.001    0.400    0.067    0.533
Cp_040_6    0.001    0.400    0.070    0.530
Cp_043_0    0.001    0.433    0.000    0.566
Cp_043_3    0.001    0.433    0.033    0.533
Cp_043_6    0.001    0.433    0.067    0.499
Cp_043_6    0.001    0.433    0.070    0.496
Cp_046_0    0.001    0.467    0.000    0.533
Cp_046_3    0.001    0.467    0.033    0.499
Cp_046_6    0.001    0.467    0.067    0.466
Cp_046_6    0.001    0.467    0.070    0.463
Cp_049_0    0.001    0.500    0.000    0.499
Cp_049_3    0.001    0.500    0.033    0.466
Cp_049_6    0.001    0.500    0.067    0.433
Cp_049_6    0.001    0.500    0.070    0.430
Cp_053_0    0.001    0.533    0.000    0.466
Cp_053_3    0.001    0.533    0.033    0.433
Cp_053_6    0.001    0.533    0.067    0.399
Cp_053_6    0.001    0.533    0.070    0.396
Cp_056_0    0.001    0.567    0.000    0.433
Cp_056_3    0.001    0.567    0.033    0.399
Cp_056_6    0.001    0.567    0.067    0.366
Cp_056_6    0.001    0.567    0.070    0.363
Cp_060_0    0.001    0.600    0.000    0.399
Cp_060_3    0.001    0.600    0.033    0.366
Cp_060_6    0.001    0.600    0.067    0.333
Cp_060_6    0.001    0.600    0.070    0.330
Cp_063_0    0.001    0.633    0.000    0.366
Cp_063_3    0.001    0.633    0.033    0.333
